Region,Product Category,Population Density,Income Level,Climate,Season,Sales
North,Fruits,High,High,Tropical,Spring,6161
North,Fruits,High,High,Tropical,Summer,1208
North,Fruits,High,High,Tropical,Autumn,3159
North,Fruits,High,High,Tropical,Winter,4612
North,Fruits,High,High,Temperate,Spring,2039
North,Fruits,High,High,Temperate,Summer,7086
North,Fruits,High,High,Temperate,Autumn,5543
North,Fruits,High,High,Temperate,Winter,8704
North,Fruits,High,High,Continental,Spring,7024
North,Fruits,High,High,Continental,Summer,5599
North,Fruits,High,High,Continental,Autumn,8418
North,Fruits,High,High,Continental,Winter,8924
North,Fruits,High,High,Polar,Spring,1361
North,Fruits,High,High,Polar,Summer,1266
North,Fruits,High,High,Polar,Autumn,8587
North,Fruits,High,High,Polar,Winter,9888
North,Fruits,High,Medium,Tropical,Spring,9373
North,Fruits,High,Medium,Tropical,Summer,8757
North,Fruits,High,Medium,Tropical,Autumn,5081
North,Fruits,High,Medium,Tropical,Winter,6422
North,Fruits,High,Medium,Temperate,Spring,8163
North,Fruits,High,Medium,Temperate,Summer,7287
North,Fruits,High,Medium,Temperate,Autumn,5638
North,Fruits,High,Medium,Temperate,Winter,8475
North,Fruits,High,Medium,Continental,Spring,2071
North,Fruits,High,Medium,Continental,Summer,2325
North,Fruits,High,Medium,Continental,Autumn,6606
North,Fruits,High,Medium,Continental,Winter,9921
North,Fruits,High,Medium,Polar,Spring,6501
North,Fruits,High,Medium,Polar,Summer,5446
North,Fruits,High,Medium,Polar,Autumn,2266
North,Fruits,High,Medium,Polar,Winter,8269
North,Fruits,High,Low,Tropical,Spring,1548
North,Fruits,High,Low,Tropical,Summer,7180
North,Fruits,High,Low,Tropical,Autumn,3675
North,Fruits,High,Low,Tropical,Winter,9784
North,Fruits,High,Low,Temperate,Spring,7802
North,Fruits,High,Low,Temperate,Summer,1547
North,Fruits,High,Low,Temperate,Autumn,7413
North,Fruits,High,Low,Temperate,Winter,5375
North,Fruits,High,Low,Continental,Spring,3818
North,Fruits,High,Low,Continental,Summer,5233
North,Fruits,High,Low,Continental,Autumn,5240
North,Fruits,High,Low,Continental,Winter,6566
North,Fruits,High,Low,Polar,Spring,8603
North,Fruits,High,Low,Polar,Summer,7273
North,Fruits,High,Low,Polar,Autumn,4029
North,Fruits,High,Low,Polar,Winter,9792
North,Fruits,Medium,High,Tropical,Spring,7526
North,Fruits,Medium,High,Tropical,Summer,9266
North,Fruits,Medium,High,Tropical,Autumn,3649
North,Fruits,Medium,High,Tropical,Winter,2009
North,Fruits,Medium,High,Temperate,Spring,7802
North,Fruits,Medium,High,Temperate,Summer,5531
