Portal,Product Category,Brand,Location,Rating,Discount Level,Price,Orders
BigBasket,Fruits,Brand A,North,1,Low,287,414
BigBasket,Fruits,Brand A,North,1,Medium,224,4115
BigBasket,Fruits,Brand A,North,1,High,231,599
BigBasket,Fruits,Brand A,North,2,Low,179,3304
BigBasket,Fruits,Brand A,North,2,Medium,176,2159
BigBasket,Fruits,Brand A,North,2,High,130,1940
BigBasket,Fruits,Brand A,North,3,Low,186,2440
BigBasket,Fruits,Brand A,North,3,Medium,99,1056
BigBasket,Fruits,Brand A,North,3,High,410,3401
BigBasket,Fruits,Brand A,North,4,Low,304,1951
BigBasket,Fruits,Brand A,North,4,Medium,130,638
BigBasket,Fruits,Brand A,North,4,High,201,1310
BigBasket,Fruits,Brand A,North,5,Low,82,538
BigBasket,Fruits,Brand A,North,5,Medium,282,4707
BigBasket,Fruits,Brand A,North,5,High,291,3747
BigBasket,Fruits,Brand A,South,1,Low,444,1680
BigBasket,Fruits,Brand A,South,1,Medium,238,2175
BigBasket,Fruits,Brand A,South,1,High,205,1489
BigBasket,Fruits,Brand A,South,2,Low,442,2763
BigBasket,Fruits,Brand A,South,2,Medium,207,4375
BigBasket,Fruits,Brand A,South,2,High,266,146
BigBasket,Fruits,Brand A,South,3,Low,379,1719
BigBasket,Fruits,Brand A,South,3,Medium,398,192
BigBasket,Fruits,Brand A,South,3,High,166,1784
BigBasket,Fruits,Brand A,South,4,Low,411,3859
BigBasket,Fruits,Brand A,South,4,Medium,260,3298
BigBasket,Fruits,Brand A,South,4,High,71,3744
BigBasket,Fruits,Brand A,South,5,Low,220,1533
BigBasket,Fruits,Brand A,South,5,Medium,456,4655
BigBasket,Fruits,Brand A,South,5,High,493,1723
BigBasket,Fruits,Brand A,East,1,Low,481,3433
BigBasket,Fruits,Brand A,East,1,Medium,241,2070
BigBasket,Fruits,Brand A,East,1,High,68,3991
BigBasket,Fruits,Brand A,East,2,Low,289,516
BigBasket,Fruits,Brand A,East,2,Medium,94,2624
BigBasket,Fruits,Brand A,East,2,High,206,4200
BigBasket,Fruits,Brand A,East,3,Low,317,4486
BigBasket,Fruits,Brand A,East,3,Medium,395,4535
BigBasket,Fruits,Brand A,East,3,High,67,814
BigBasket,Fruits,Brand A,East,4,Low,275,1167
BigBasket,Fruits,Brand A,East,4,Medium,491,4648
BigBasket,Fruits,Brand A,East,4,High,214,1435
BigBasket,Fruits,Brand A,East,5,Low,132,2064
BigBasket,Fruits,Brand A,East,5,Medium,99,213
BigBasket,Fruits,Brand A,East,5,High,467,923
BigBasket,Fruits,Brand A,West,1,Low,251,2202
BigBasket,Fruits,Brand A,West,1,Medium,96,2783
BigBasket,Fruits,Brand A,West,1,High,243,2331
BigBasket,Fruits,Brand A,West,2,Low,151,3168
BigBasket,Fruits,Brand A,West,2,Medium,263,2932
BigBasket,Fruits,Brand A,West,2,High,143,3340
BigBasket,Fruits,Brand A,West,3,Low,142,3702
BigBasket,Fruits,Brand A,West,3,Medium,388,3417
BigBasket,Fruits,Brand A,West,3,High,177,4191
BigBasket,Fruits,Brand A,West,4,Low,462,1011
BigBasket,Fruits,Brand A,West,4,Medium,250,4859
BigBasket,Fruits,Brand A,West,4,High,148,3028
BigBasket,Fruits,Brand A,West,5,Low,390,804
BigBasket,Fruits,Brand A,West,5,Medium,155,2126
